given_name,created_date,last_modified_date,family_name,credit_name,other_names,orcid_identifier_path,biography,researcher_urls,emails,keywords,external_ids,organization_name,organization_address_city,organization_address_region,organization_address_country,organization_disambiguated_organization_identifier,organization_disambiguation_source,department_name,role_title,url_value,display_index,visibility,created_date_value,start_date_year_value,start_date_month_value,start_date_day_value,end_date_year_value,end_date_month_value,end_date_day_value
Fu-Sen,2016-12-12,2016-12-12,Liang,NA,,0000-0002-1793-0824,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,NA,NA,1,public,2019-06-18,NA,NA,NA,NA,NA,NA
Harold,2017-09-15,2017-09-15,Connamacher,NA,,0000-0002-7301-8450,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Computer and Data Sciences,NA,https://engineering.case.edu/profiles/hsc21,1,public,2017-09-15,2011,07,01,NA,NA,NA
Rebecca,2016-04-15,2016-04-15,Carter,NA,,0000-0002-2729-8172,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Epidemiology and Biostatistics,Research Coordinator & Graduate Assistant,NA,0,public,2016-03-04,NA,NA,NA,NA,NA,NA
Chris,2016-04-15,2016-04-15,Dealwis,NA,,0000-0002-1686-4183,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pharmacology,NA,NA,0,public,2017-05-30,2007,NA,NA,NA,NA,NA
mark,2016-04-15,2016-04-15,fleisher,NA,,0000-0002-7964-1104,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Research Professor,NA,1,public,2018-09-21,2011,07,01,NA,NA,NA
Xiaojun,2016-10-31,2016-10-31,Shi,NA,,0000-0002-8060-5880,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,Postdoctoral Researcher,NA,0,public,2018-07-18,2018,01,05,NA,NA,NA
Nicole,2020-03-17,2020-03-17,EL-Darzi,NA,,0000-0003-2103-9492,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Ophthalmology and Visual sciences,Researcher,NA,1,public,2020-03-17,2017,02,01,NA,NA,NA
Benthara Hewage Dinushi,2018-06-21,2018-06-21,Jayatunga,NA,,0000-0003-3018-3541,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Physics,Research Assistant,NA,0,public,2018-06-21,2015,08,15,NA,NA,NA
Jey Sabith,2016-04-15,2016-04-15,Ebron,ebronjs,,0000-0002-5820-4175,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Genetics and Genomic Sciences,Postdoctoral Researcher,http://genetics.case.edu,0,public,2018-05-03,2017,06,07,NA,NA,NA
Gao,2018-04-05,2018-04-05,Zhou,NA,,0000-0003-2032-5294,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biochemistry,Scientist,NA,1,public,2021-07-23,2019,07,03,NA,NA,NA
Susan,2018-09-14,2018-09-14,Burden-Gulley,NA,,0000-0001-7419-9073,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biology,Instructor,http://biology.case.edu/faculty/susan-burden-gulley/,1,public,2018-09-14,2013,08,NA,NA,NA,NA
Erkki,2017-12-10,2017-12-10,Somersalo,NA,,0000-0001-5099-3512,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Mathematcs, Applied Mathematics and Statistics",Professor,NA,1,public,2019-04-10,2008,08,25,NA,NA,NA
Andrew,2017-10-02,2017-10-02,Rollins,NA,,0000-0002-7780-4862,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,Professor,NA,0,public,2017-10-02,1999,NA,NA,NA,NA,NA
william,2016-04-15,2016-04-15,merrick,William C. Merrick,,0000-0003-3009-8128,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biochemistry,Professor,NA,0,public,2015-01-12,1978,10,01,NA,NA,NA
Ulises,2016-04-15,2016-04-15,Fidalgo,NA,,0000-0002-2084-1099,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Math,Full time lecturer,https://mathstats.case.edu,1,public,2019-04-12,2016,08,29,NA,NA,NA
Adam,2017-03-15,2017-03-15,Burgener,NA,,0000-0002-2303-5738,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Center for Global Health and Diseases,NA,NA,1,public,2021-02-15,2020,03,01,NA,NA,NA
Elizabeth,2019-04-23,2019-04-23,Albert,NA,,0000-0001-6992-9924,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,NA,NA,Center for Community Health Integration,Senior Research Associate,NA,1,public,2019-04-23,2009,NA,NA,NA,NA,NA
Shaofei,2021-03-18,2021-03-18,Lu,NA,,0000-0002-7449-2437,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2021-03-18,NA,NA,NA,NA,NA,NA
Brian,2022-02-23,2022-02-23,Dailey,NA,,0000-0001-7898-321X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Ophthalmology and Visual Sciences,Research Assistant,NA,1,public,2022-02-23,2021,03,01,NA,NA,NA
Qimin,2019-01-26,2019-01-26,Huang,NA,,0000-0001-6994-1739,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"DEPARTMENT OF MATHEMATICS, APPLIED MATHEMATICS AND STATISTICS",Postdoctoral Scholar and Adjunct Instructor,NA,1,public,2019-11-11,2019,01,07,NA,NA,NA
Robert,2016-04-15,2016-04-15,Savinell,NA,,0000-0001-9662-2901,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemical Engineering,Professor,NA,0,public,2014-11-10,1986,09,01,NA,NA,NA
Kelli,2018-03-14,2018-03-14,Qua,NA,,0000-0001-9901-9307,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2019-03-13,2018,01,01,NA,NA,NA
Anne,2017-07-21,2017-07-21,Bryden,NA,,0000-0003-4381-1156,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,The Institute for Functional Restoration,Director of Clinical Trials and Research,NA,1,public,2020-04-06,2017,NA,NA,NA,NA,NA
Fara,2016-12-26,2016-12-26,Saez,NA,,0000-0002-2171-9490,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Physiology and Biophysics,Postdoctoral Scholar,NA,0,public,2016-12-26,2013,07,01,NA,NA,NA
Allison,2021-03-08,2021-03-08,Bode,NA,,0000-0002-6211-4885,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,1,public,2021-03-10,NA,NA,NA,NA,NA,NA
 norah,2016-04-15,2016-04-15,feeny,Norah C. Feeny,,0000-0001-8590-4591,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Psychological Sciences,Professor,NA,0,public,2018-01-16,2006,08,01,NA,NA,NA
Leonardo,2019-07-23,2019-07-23,Madureira,NA,,0000-0001-6202-1067,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Banking and Finance,Associate Professor,https://weatherhead.case.edu/faculty/leonardo-madureira,1,public,2019-07-23,2005,07,01,NA,NA,NA
Mark,2018-12-17,2018-12-17,Chupp,Mark G Chupp,,0000-0003-0367-0520,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences,Assistant Director,https://case.edu/socialwork/,1,public,2018-12-17,2006,07,01,NA,NA,NA
Ya-Ting Tseng,2016-04-15,2016-04-15,Liao,Ya-Ting Tseng Liao,,0000-0001-5759-5971,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mechanical and Aerospace Engineering,Assistant Professor,NA,0,public,2015-07-23,2015,05,01,NA,NA,NA
Jiahao,2022-06-27,2022-06-27,Huang,NA,,0000-0001-9326-5320,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Macromolecular Sciecne and Engineering,Research Associate,NA,1,public,2022-06-27,2022,03,01,NA,NA,NA
Pan,2016-07-16,2016-07-16,Li,NA,,0000-0001-6522-2446,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Electrical, Computer, and Systems Engineering",Associate Professor,http://cse-apps2.case.edu/panli/,1,public,2022-03-03,2015,07,01,NA,NA,NA
Ankit,2022-06-01,2022-06-01,Saha,NA,,0000-0003-0322-2007,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Macromolecular Science and Engineering,Graduate Research Assistant,NA,1,public,2022-06-01,2022,01,10,NA,NA,NA
Ann,2022-06-21,2022-06-21,Burns,NA,,0000-0003-0418-9923,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Nutrition,Research Fellow,NA,1,public,2022-06-29,2022,05,NA,NA,NA,NA
Kyle,2019-11-24,2019-11-24,LaFollette,NA,,0000-0003-1388-7387,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychological Sciences,Graduate Student Researcher,NA,1,public,2022-08-08,2020,NA,NA,NA,NA,NA
James,2016-04-15,2016-04-15,Overholser,NA,,0000-0002-4242-2215,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychology,Professor,NA,0,public,2015-05-07,1988,08,01,NA,NA,NA
Nicole,2018-09-10,2018-09-10,Graf,NA,,0000-0001-9207-0441,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mechanical and Aerospace Engineering,Teaching Assistant,NA,1,public,2019-04-16,2018,08,21,NA,NA,NA
Mark,2018-10-15,2018-10-15,Chance,NA,,0000-0002-2991-6405,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Nutrition,Professor,NA,1,public,2018-10-15,2014,01,01,NA,NA,NA
Joachim,2016-04-15,2016-04-15,Voss,NA,,0000-0002-8072-6244,I am Professor and Director of the Sara Cole Hirsh Institute for Evidence-based Practice at Case Western Reserve University at the Frances Payne Bolton School of Nursing. My research focuses on the development of biomarkers for fatigue and the symptom management of HIV-related symptoms. I am also an Affiliate Associate Professor in Global Health with a research focus on finding community solutions to climate change and improving health.,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Frances Payne Bolton School of Nursing,Professor,https://case.edu/nursing/,0,public,2018-08-15,2014,09,14,NA,NA,NA
Slim,2016-04-15,2016-04-15,Fourati,NA,,0000-0001-6609-7587,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pathology,Senior Research Associate,https://case.edu/medicine/pathology/,0,public,2017-10-09,2015,09,01,NA,NA,NA
Katherine,2021-01-28,2021-01-28,Lewis,NA,,0000-0002-0954-0594,NA,,,,,Case Western Reserve University,Cleveland,OH,US,NA,NA,Begun Center for Violence Prevention Research and Education,Research Associate,NA,1,public,2021-01-28,2020,05,NA,NA,NA,NA
Uri,2016-04-15,2016-04-15,Mbonye,NA,,0000-0002-7694-0803,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Molecular Biology and Microbiology,Research Scientist,NA,1,public,2021-11-12,2018,11,02,NA,NA,NA
Takao,2020-08-25,2020-08-25,Hagiwara,NA,,0000-0001-9132-0832,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Modern Languages and Literatures,Associate Professor of Japanese,NA,1,public,2020-08-25,NA,NA,NA,NA,NA,NA
Jena,2019-02-04,2019-02-04,Styka,NA,,0000-0002-0386-8492,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Kelvin Smith Library,Assessment and Administrative Project Coordinator,NA,1,public,2019-02-04,2018,06,04,NA,NA,NA
Sylvie,2017-01-26,2017-01-26,Hauguel-de Mouzon,NA,,0000-0002-5954-0154,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Reproductive Biology,Professor,NA,0,public,2018-03-11,2003,01,01,NA,NA,NA
Vishal,2016-04-15,2016-04-15,Patel,NA,,0000-0002-2925-8254,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Center for Proteomics and Bioinformatics,Instructor,NA,0,public,2014-04-15,2013,06,NA,NA,NA,NA
Benjamin,2018-09-14,2018-09-14,Sturtz,Benjamin W. Sturtz,,0000-0002-1877-1140,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Research Associate,NA,1,public,2018-09-14,2017,06,NA,NA,NA,NA
Michael,2016-04-15,2016-04-15,Fu,Michael J. Fu,,0000-0002-3057-1221,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Electrical, Computer, and Systems Engineering",Assistant Professor,NA,1,public,2017-08-28,2017,03,21,NA,NA,NA
Arlene,2019-06-27,2019-06-27,Dent,NA,,0000-0003-2265-7938,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pediatrics,Associate Professor,NA,1,public,2019-06-27,NA,NA,NA,NA,NA,NA
Jonathan Y.,2019-03-20,2019-03-20,Tan,Jonathan Y. Tan,,0000-0001-8551-5959,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Religious Studies,Archbishop Paul J. Hallinan Professor of Catholic Studies,http://www.jonathantan.org/,1,public,2019-03-20,2015,01,01,NA,NA,NA
Fitya Syarifa,2020-05-16,2020-05-16,Mozar,NA,,0000-0001-8710-6497,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Pharmacology,Postdoctoral scholar,NA,1,public,2020-05-16,2018,10,01,NA,NA,NA
Keiki,2017-11-08,2017-11-08,Sugi,NA,,0000-0002-7608-4541,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,CVRI,Research Associate,NA,0,public,2017-11-08,2017,09,01,NA,NA,NA
Ryan,2021-10-01,2021-10-01,Arvidson,NA,,0000-0002-6114-9402,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biochemistry,Faculty,NA,1,public,2021-10-01,2020,07,01,NA,NA,NA
Gary,2019-01-31,2019-01-31,Deimling,NA,,0000-0003-3069-1714,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Sociology,Professor,NA,1,public,2019-01-31,1993,08,19,NA,NA,NA
Qingzhong,2016-04-15,2016-04-15,Kong,NA,,0000-0003-0298-5264,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pathology,Associate Professor,NA,0,public,2017-06-01,2000,08,01,NA,NA,NA
Idit,2017-01-11,2017-01-11,Zehavi,NA,,0000-0001-8286-6024,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Physics ,NA,NA,1,public,2019-06-20,NA,NA,NA,NA,NA,NA
Sven,2019-03-15,2019-03-15,Gunther,NA,,0000-0002-5823-4702,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Plastic Surgery ,Resident ,NA,1,public,2019-03-15,NA,NA,NA,NA,NA,NA
Qi,2018-12-05,2018-12-05,Han,NA,,0000-0002-7795-9047,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,chemistry,NA,NA,1,public,2018-12-06,2012,09,01,NA,NA,NA
Nick,2016-04-15,2016-04-15,Stauner,NA,,0000-0002-3068-8219,"Nick Stauner (PhD, social/personality psychology, University of California, Riverside, 2013) is a postdoctoral scholar at Case Western Reserve University in Cleveland, Ohio, USA. He serves as co-leader for a three-year research project on supernatural attribution funded by a large grant from the John Templeton Foundation. He has published on religious and spiritual struggles and measurement of latent individual difference factors, and has interests in existential, positive, personality, social, and quantitative psychology.",,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychological Sciences,Postdoctoral Scholar,NA,0,public,2015-07-06,2014,09,NA,NA,NA,NA
Kuan-Hao,2016-04-15,2016-04-15,Su,NA,,0000-0002-4065-7459,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,NA,NA,NA,0,public,2013-12-30,NA,NA,NA,NA,NA,NA
Stephen,2017-08-07,2017-08-07,Hostler,NA,,0000-0002-3160-1269,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,grid.67105.35,GRID,Mechanical and Aerospace Engineering,Assistant Professor,NA,1,public,2019-12-12,2019,08,30,NA,NA,NA
Satish,2016-04-15,2016-04-15,Nambisan,NA,,0000-0001-9375-5223,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Weatherhead School of Management,Keithley Chair Professor of Technology Management,NA,0,public,2018-06-15,2017,07,01,NA,NA,NA
Bo,2016-04-15,2016-04-15,Li,NA,,0000-0002-0127-8210,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mechanical and Aerospace Engineering,Professor,NA,0,public,2014-05-22,2013,08,19,NA,NA,NA
Barbara,2016-04-15,2016-04-15,Daly,NA,,0000-0003-1977-5941,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,School of Nursing,Professor,NA,0,public,2014-04-04,NA,NA,NA,NA,NA,NA
Laura,2016-04-15,2016-04-15,Bruckman,Laura S. Bruckman,,0000-0003-1271-1072,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Material Science and Engineering,Associate Research Professor,NA,0,public,2017-11-09,2011,08,NA,NA,NA,NA
Dmitry,2018-04-02,2018-04-02,Cherezov,NA,,0000-0001-5246-1544,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,Research Associate ,NA,1,public,2022-04-11,2021,09,15,NA,NA,NA
YeongAe,2016-04-16,2016-04-16,Heo,NA,,0000-0003-4905-9997,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Civil Engineering,Assistant Professor,NA,0,public,2014-12-17,2014,08,01,NA,NA,NA
David,2016-04-15,2016-04-15,Crampton,NA,,0000-0001-8682-7858,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Jack, Joseph and Morton Mandel School of Applied Social Sciences",Associate Professor of Social Work,NA,1,public,2020-06-22,2002,07,01,NA,NA,NA
Huichun (Judy),2017-04-04,2017-04-04,zhang,NA,,0000-0002-5683-5117,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Civil and Environmental Engineering,Frank H. Neff Professor,NA,1,public,2017-11-01,2017,08,21,NA,NA,NA
Ernst-Bernhard,2020-03-30,2020-03-30,Kayser,NA,,0000-0002-1632-8532,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Anesthesiology,Research Associate,NA,1,public,2020-03-30,NA,NA,NA,NA,NA,NA
Mary R,2018-11-04,2018-11-04,Franklin,NA,,0000-0002-2903-9115,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Nursing,Instructor,NA,1,public,2018-11-04,2013,01,13,NA,NA,NA
John,2017-05-30,2017-05-30,Pink,NA,,0000-0002-3111-5754,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Cancer Center,Director Translational Research Core Facility,NA,0,public,2017-05-30,2005,06,NA,NA,NA,NA
Allen,2021-04-03,2021-04-03,Foster,NA,,0000-0002-7145-1824,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Physics,Graduate Student,NA,1,public,2021-04-03,2015,08,NA,NA,NA,NA
Carolyn,2016-04-15,2016-04-15,Still,NA,,0000-0002-7106-9246,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Frances Payne Bolton School of Nursing,Assistant Professor,NA,1,public,2019-10-17,2017,01,02,NA,NA,NA
Hamid,2016-04-15,2016-04-15,Charkhkar,NA,,0000-0001-5485-5969,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,Senior Research Associate,NA,1,public,2019-08-29,2018,12,01,NA,NA,NA
Robert,2016-11-15,2016-11-15,Salomon,NA,,0000-0001-9456-3557,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Charles Mabery Professor of Research,NA,0,public,2018-08-05,2010,NA,NA,NA,NA,NA
Ye,2018-02-02,2018-02-02,Tian,Ye Devin Tian,,0000-0003-4920-113X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Population and Quantitative Health Sciences,Research Scientist,NA,0,public,2018-02-02,2015,06,15,NA,NA,NA
Kathryn,2018-02-13,2018-02-13,Lockwood,NA,,0000-0002-0688-0577,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mathematics,Graduate Student Instructor,NA,0,public,2018-02-13,2015,08,NA,NA,NA,NA
Shira,2016-04-15,2016-04-15,Yellin,NA,,0000-0002-2203-1348,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Cognitive Science,Research Assistant,NA,0,public,2016-07-24,2015,09,01,NA,NA,NA
Jessica,2016-12-15,2016-12-15,Ludwig,NA,,0000-0001-6248-1215,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Dermatology,Research Assistant,NA,0,public,2016-12-15,2016,NA,NA,NA,NA,NA
Niyati,2016-04-15,2016-04-15,Jain,NA,,0000-0002-0886-6576,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Senior Research Associate,NA,0,public,2015-05-10,2013,04,15,NA,NA,NA
Earle,2016-04-15,2016-04-15,Luck,R. Earle Luck,,0000-0001-5077-5929,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Astronomy,Warner Professor of Astronomy,NA,0,public,2014-02-21,NA,NA,NA,NA,NA,NA
Karen,2016-04-15,2016-04-15,Flynn,Karen Coen Flynn,,0000-0003-1110-078X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Begun Center for Violence Prevention Research and Education,Senior Research Associate,http://begun.case.edu/about-us/who-we-are/kflynn/,1,public,2018-08-24,2017,03,15,NA,NA,NA
Ibrahim,2021-04-30,2021-04-30,Alfurayj,Ibrahim A Alfurayj,,0000-0002-0157-6576,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Ph.D. Candidate ,https://www.case.edu,1,public,2021-04-30,2018,08,27,NA,NA,NA
Jessica,2016-04-15,2016-04-15,Fox,NA,,0000-0001-6374-657X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biology,Assistant Professor,NA,0,public,2016-01-19,2013,07,01,NA,NA,NA
Desiree Mae,2020-10-04,2020-10-04,Prado,NA,,0000-0001-9129-1648,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of Chemistry,Graduate Teaching Assistant,NA,1,public,2021-08-17,2021,08,16,NA,NA,NA
Sara,2016-04-15,2016-04-15,Dastmalchian,NA,,0000-0003-0977-4080,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Radiology,Postdoctoral scholar,NA,0,public,2016-03-29,2014,11,13,NA,NA,NA
Intekhab,2017-06-15,2017-06-15,alam,NA,,0000-0003-1903-5839,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,physiology and biophysics,research associate,NA,1,public,2019-05-30,2019,04,01,NA,NA,NA
Gary,2016-04-15,2016-04-15,Wildey,NA,,0000-0001-7105-1313,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Case Comprehensive Cancer Center,NA,NA,0,public,2014-08-26,2011,NA,NA,NA,NA,NA
Thomas,2016-04-15,2016-04-15,McCormick,NA,,0000-0002-3294-0326,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Dermatology,Associate Professor,NA,0,public,2015-09-18,1993,NA,NA,NA,NA,NA
Christopher,2019-09-13,2019-09-13,Ryder,NA,,0000-0002-4600-2963,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Pathology,Assistant Professor,NA,1,public,2019-09-13,2019,07,01,NA,NA,NA
Matthew,2020-01-08,2020-01-08,Garrett,NA,,0000-0002-7881-3074,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Music,"Associate Professor, Music Education",https://music.case.edu/faculty/matthew-garrett/,1,public,2020-01-08,2009,07,01,NA,NA,NA
Alison,2020-11-30,2020-11-30,Harper,NA,,0000-0002-6835-4900,NA,,,,,Case Western Reserve University,Cleveland,Ohio,US,grid.67105.35,GRID,Department of Anthropology,Graduate Assistant,NA,1,public,2021-07-22,2019,08,NA,NA,NA,NA
Calvin,2020-09-21,2020-09-21,Frye,NA,,0000-0002-2926-8241,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Research Computing,Compliance Technologist,http://www.case.edu,1,public,2020-09-21,2017,01,03,NA,NA,NA
Robert,2016-04-15,2016-04-15,Kirsch,NA,,0000-0003-2564-1800,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Biomedical Engineering,Professor and Chair,NA,0,public,2018-07-19,1998,01,01,NA,NA,NA
Jennifer,2017-08-10,2017-08-10,Starkey,NA,,0000-0002-8748-2326,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Kelvin Smith Library,Team Leader for Research Services,NA,1,public,2018-03-07,2017,07,NA,NA,NA,NA
Jayvic C.,2020-08-30,2020-08-30,Jimenez,NA,,0000-0002-2342-5648,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Chemistry,Graduate Student,NA,1,public,2021-05-19,2016,08,25,NA,NA,NA
Kylie,2019-10-18,2019-10-18,Evans,NA,,0000-0002-1799-7009,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Mandel School of Applied Social Sciences/Center on Trauma & Adversity,Research Fellowship,NA,1,public,2019-10-18,2017,08,NA,NA,NA,NA
Atul,2019-12-03,2019-12-03,Chopra,NA,,0000-0002-1304-3777,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Medicine,Associate Professor,NA,1,public,2020-04-21,NA,NA,NA,NA,NA,NA
Man Hin,2018-08-05,2018-08-05,Kwok,NA,,0000-0002-9938-2648,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Department of macromolecular science and engineering,research associate,NA,1,public,2021-05-27,2018,06,01,NA,NA,NA
Grover,2016-04-15,2016-04-15,Gilmore,NA,,0000-0002-2443-2057,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,"Jack, Joseph and Morton Mandel School of Applied Social Sciences",Dean,NA,0,public,2015-03-17,2002,01,07,NA,NA,NA
Grover,2016-04-15,2016-04-15,Gilmore,NA,,0000-0002-2443-2057,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,Psychological Sciences,Professor,NA,0,public,2015-03-17,1975,08,01,NA,NA,NA
Tapatee,2020-01-20,2020-01-20,Das,NA,,0000-0002-5703-045X,NA,,,,,Case Western Reserve University,Cleveland,OH,US,2546,RINGGOLD,medicine,postdoctoral fellow,NA,1,public,2022-04-15,2021,08,10,NA,NA,NA
